symbol,signal,horizon,n_on,mean_on,mean_off,diff,t_stat,win_rate_on
GALAXY_SOUNDS_SOLAR_FLAMES,TRADE_BIG_P95(>=4),100,177,3.7232,-1.0945,4.8177,0.52,0.497
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P95,1,2113,0.2508,-0.0101,0.261,1.1,0.499
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P95,1,2112,0.1529,-0.0027,0.1556,0.65,0.496
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P99,1,2113,0.2508,-0.0101,0.261,1.1,0.499
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P99,1,2112,0.1529,-0.0027,0.1556,0.65,0.496
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P95,5,2113,0.832,-0.0214,0.8534,1.63,0.499
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P95,5,2112,0.6858,-0.0103,0.6961,1.33,0.497
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P99,5,2113,0.832,-0.0214,0.8534,1.63,0.499
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P99,5,2112,0.6858,-0.0103,0.6961,1.33,0.497
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P95,10,2113,0.5095,0.0398,0.4697,0.65,0.501
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P95,10,2112,0.3625,0.0509,0.3115,0.43,0.5
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P99,10,2113,0.5095,0.0398,0.4697,0.65,0.501
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P99,10,2112,0.3625,0.0509,0.3115,0.43,0.5
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P95,30,2111,0.7887,0.1376,0.6511,0.5,0.499
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P95,30,2110,0.8967,0.1294,0.7672,0.58,0.501
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P99,30,2111,0.7887,0.1376,0.6511,0.5,0.499
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P99,30,2110,0.8967,0.1294,0.7672,0.58,0.501
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P95,100,2108,0.6487,1.1405,-0.4918,-0.21,0.491
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P95,100,2107,1.4127,1.0826,0.3301,0.14,0.493
GALAXY_SOUNDS_SOLAR_WINDS,BIG_BID_LVL1_P99,100,2108,0.6487,1.1405,-0.4918,-0.21,0.491
GALAXY_SOUNDS_SOLAR_WINDS,BIG_ASK_LVL1_P99,100,2107,1.4127,1.0826,0.3301,0.14,0.493
GALAXY_SOUNDS_SOLAR_WINDS,TRADE_BIG_P95(>=4),1,179,-0.7263,-0.0081,-0.7181,-0.85,0.441
GALAXY_SOUNDS_SOLAR_WINDS,TRADE_BIG_P95(>=4),5,179,2.4469,1.4847,0.9623,0.51,0.553
GALAXY_SOUNDS_SOLAR_WINDS,TRADE_BIG_P95(>=4),10,179,4.2318,0.4295,3.8024,1.44,0.564
GALAXY_SOUNDS_SOLAR_WINDS,TRADE_BIG_P95(>=4),30,179,7.014,-2.2971,9.3111,2.02,0.553
GALAXY_SOUNDS_SOLAR_WINDS,TRADE_BIG_P95(>=4),100,177,-4.5678,-5.16,0.5922,0.07,0.446
MICROCHIP_CIRCLE,BIG_BID_LVL1_P95,1,1850,0.5162,-0.0201,0.5363,2.58,0.508
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P95,1,1825,-0.0099,0.0144,-0.0243,-0.12,0.492
MICROCHIP_CIRCLE,BIG_BID_LVL1_P99,1,597,0.2127,0.0089,0.2038,0.57,0.489
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P99,1,556,0.4146,0.0054,0.4092,1.16,0.516
MICROCHIP_CIRCLE,BIG_BID_LVL1_P95,5,1850,1.2303,-0.015,1.2453,2.62,0.503
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P95,5,1825,0.6893,0.0212,0.6682,1.39,0.499
MICROCHIP_CIRCLE,BIG_BID_LVL1_P99,5,597,0.6214,0.0504,0.571,0.69,0.501
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P99,5,556,1.8516,0.028,1.8236,2.11,0.529
MICROCHIP_CIRCLE,BIG_BID_LVL1_P95,10,1850,1.5,0.0344,1.4656,2.23,0.512
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P95,10,1825,0.7304,0.0856,0.6448,0.95,0.502
MICROCHIP_CIRCLE,BIG_BID_LVL1_P99,10,597,1.0494,0.106,0.9434,0.84,0.513
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P99,10,556,1.7626,0.0939,1.6687,1.42,0.522
MICROCHIP_CIRCLE,BIG_BID_LVL1_P95,30,1850,1.7808,0.3579,1.4229,1.25,0.515
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P95,30,1825,1.9203,0.3502,1.5701,1.32,0.519
MICROCHIP_CIRCLE,BIG_BID_LVL1_P99,30,597,0.4481,0.4457,0.0024,0.0,0.519
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P99,30,556,3.0036,0.3974,2.6062,1.24,0.532
MICROCHIP_CIRCLE,BIG_BID_LVL1_P95,100,1850,3.4254,1.271,2.1544,1.07,0.518
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P95,100,1825,2.583,1.3277,1.2553,0.59,0.506
MICROCHIP_CIRCLE,BIG_BID_LVL1_P99,100,597,-0.7395,1.448,-2.1875,-0.63,0.487
MICROCHIP_CIRCLE,BIG_ASK_LVL1_P99,100,556,1.9784,1.3934,0.585,0.16,0.518
MICROCHIP_CIRCLE,TRADE_BIG_P95(>=3),1,173,-0.3006,0.4104,-0.7109,-0.79,0.462
MICROCHIP_CIRCLE,TRADE_BIG_P95(>=3),5,173,-1.6329,0.9722,-2.6052,-1.29,0.474
MICROCHIP_CIRCLE,TRADE_BIG_P95(>=3),10,173,-3.5347,-1.0114,-2.5233,-0.9,0.486
MICROCHIP_CIRCLE,TRADE_BIG_P95(>=3),30,173,0.3208,-4.1856,4.5064,0.97,0.451
MICROCHIP_CIRCLE,TRADE_BIG_P95(>=3),100,172,-8.468,-4.7633,-3.7047,-0.46,0.453
MICROCHIP_OVAL,BIG_BID_LVL1_P95,1,2177,-0.2214,-0.1437,-0.0777,-0.32,0.471
MICROCHIP_OVAL,BIG_ASK_LVL1_P95,1,2165,-0.3187,-0.1362,-0.1825,-0.76,0.471
MICROCHIP_OVAL,BIG_BID_LVL1_P99,1,611,0.1268,-0.1551,0.282,0.7,0.47
MICROCHIP_OVAL,BIG_ASK_LVL1_P99,1,588,-0.5238,-0.1419,-0.3819,-0.92,0.476
MICROCHIP_OVAL,BIG_BID_LVL1_P95,5,2176,-0.9602,-0.7326,-0.2276,-0.43,0.467
MICROCHIP_OVAL,BIG_ASK_LVL1_P95,5,2164,-1.0467,-0.726,-0.3207,-0.61,0.474
MICROCHIP_OVAL,BIG_BID_LVL1_P99,5,611,-0.9967,-0.744,-0.2527,-0.27,0.453
MICROCHIP_OVAL,BIG_ASK_LVL1_P99,5,588,-0.6276,-0.7516,0.124,0.13,0.457
MICROCHIP_OVAL,BIG_BID_LVL1_P95,10,2176,-2.4007,-1.4264,-0.9744,-1.3,0.462
MICROCHIP_OVAL,BIG_ASK_LVL1_P95,10,2164,-2.204,-1.4421,-0.762,-1.01,0.458
MICROCHIP_OVAL,BIG_BID_LVL1_P99,10,611,-4.2946,-1.4389,-2.8557,-2.2,0.419
MICROCHIP_OVAL,BIG_ASK_LVL1_P99,10,588,-2.5476,-1.476,-1.0716,-0.78,0.449
MICROCHIP_OVAL,BIG_BID_LVL1_P95,30,2171,-4.0995,-4.495,0.3955,0.31,0.465
MICROCHIP_OVAL,BIG_ASK_LVL1_P95,30,2159,-4.6906,-4.4489,-0.2417,-0.19,0.459
MICROCHIP_OVAL,BIG_BID_LVL1_P99,30,610,-5.5705,-4.4434,-1.1271,-0.48,0.462
MICROCHIP_OVAL,BIG_ASK_LVL1_P99,30,587,-7.0835,-4.4141,-2.6694,-1.11,0.445
MICROCHIP_OVAL,BIG_BID_LVL1_P95,100,2158,-14.5063,-14.733,0.2267,0.1,0.436
MICROCHIP_OVAL,BIG_ASK_LVL1_P95,100,2146,-12.8208,-14.8632,2.0424,0.87,0.448
MICROCHIP_OVAL,BIG_BID_LVL1_P99,100,608,-22.7196,-14.5505,-8.169,-1.91,0.406
MICROCHIP_OVAL,BIG_ASK_LVL1_P99,100,585,-17.2726,-14.6656,-2.607,-0.61,0.434
MICROCHIP_OVAL,TRADE_BIG_P95(>=3),1,173,-0.789,-0.9684,0.1794,0.16,0.457
MICROCHIP_OVAL,TRADE_BIG_P95(>=3),5,173,-0.2312,-2.3333,2.1021,0.91,0.445
MICROCHIP_OVAL,TRADE_BIG_P95(>=3),10,173,-1.0376,-0.3674,-0.6701,-0.19,0.462
MICROCHIP_OVAL,TRADE_BIG_P95(>=3),30,173,-12.6301,-3.5543,-9.0758,-1.65,0.399
MICROCHIP_OVAL,TRADE_BIG_P95(>=3),100,172,-29.875,-16.5975,-13.2775,-1.28,0.39
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P95,1,1518,0.7566,-0.0834,0.84,2.47,0.515
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P95,1,2273,0.0836,-0.0511,0.1347,0.49,0.498
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P99,1,476,0.8634,-0.0555,0.919,1.52,0.508
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P99,1,436,0.1204,-0.0433,0.1637,0.28,0.495
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P95,5,1518,1.306,-0.2831,1.589,2.07,0.507
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P95,5,2273,0.5262,-0.2624,0.7886,1.27,0.505
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P99,5,476,1.4916,-0.23,1.7216,1.26,0.513
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P99,5,436,1.1078,-0.222,1.3298,0.97,0.525
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P95,10,1517,2.0804,-0.5323,2.6127,2.41,0.529
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P95,10,2273,0.7591,-0.4952,1.2543,1.43,0.513
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P99,10,476,2.5126,-0.4471,2.9597,1.57,0.55
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P99,10,436,2.0562,-0.4364,2.4925,1.25,0.53
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P95,30,1517,6.0847,-1.5828,7.6675,4.09,0.533
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P95,30,2269,2.7166,-1.5151,4.2317,2.76,0.521
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P99,30,476,10.6355,-1.3856,12.0211,3.78,0.557
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P99,30,435,6.5276,-1.3084,7.836,2.23,0.538
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P95,100,1512,5.2133,-4.4196,9.6329,2.95,0.513
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P95,100,2264,4.9455,-4.6598,9.6052,3.52,0.517
MICROCHIP_RECTANGLE,BIG_BID_LVL1_P99,100,474,10.3407,-4.1624,14.5031,2.48,0.511
MICROCHIP_RECTANGLE,BIG_ASK_LVL1_P99,100,434,1.2869,-4.0093,5.2962,0.83,0.507
MICROCHIP_RECTANGLE,TRADE_BIG_P95(>=3),1,173,-0.9364,-0.428,-0.5084,-0.44,0.48
MICROCHIP_RECTANGLE,TRADE_BIG_P95(>=3),5,173,-0.0318,-1.5189,1.4871,0.62,0.514
MICROCHIP_RECTANGLE,TRADE_BIG_P95(>=3),10,173,-1.5809,0.7298,-2.3107,-0.63,0.491
MICROCHIP_RECTANGLE,TRADE_BIG_P95(>=3),30,173,-2.4653,-2.5505,0.0852,0.01,0.48
MICROCHIP_RECTANGLE,TRADE_BIG_P95(>=3),100,172,2.1948,1.6987,0.496,0.04,0.494
MICROCHIP_SQUARE,BIG_BID_LVL1_P95,1,5851,0.3506,0.0655,0.2851,0.94,0.5
MICROCHIP_SQUARE,BIG_ASK_LVL1_P95,1,5857,0.2639,0.0865,0.1774,0.59,0.498
MICROCHIP_SQUARE,BIG_BID_LVL1_P99,1,5851,0.3506,0.0655,0.2851,0.94,0.5
MICROCHIP_SQUARE,BIG_ASK_LVL1_P99,1,5857,0.2639,0.0865,0.1774,0.59,0.498
MICROCHIP_SQUARE,BIG_BID_LVL1_P95,5,5850,0.1591,0.7133,-0.5542,-0.84,0.501
MICROCHIP_SQUARE,BIG_ASK_LVL1_P95,5,5856,0.0938,0.7293,-0.6355,-0.97,0.5
MICROCHIP_SQUARE,BIG_BID_LVL1_P99,5,5850,0.1591,0.7133,-0.5542,-0.84,0.501
MICROCHIP_SQUARE,BIG_ASK_LVL1_P99,5,5856,0.0938,0.7293,-0.6355,-0.97,0.5
MICROCHIP_SQUARE,BIG_BID_LVL1_P95,10,5848,0.7177,1.3435,-0.6258,-0.67,0.502
MICROCHIP_SQUARE,BIG_ASK_LVL1_P95,10,5854,0.7095,1.3456,-0.6361,-0.68,0.503
MICROCHIP_SQUARE,BIG_BID_LVL1_P99,10,5848,0.7177,1.3435,-0.6258,-0.67,0.502
MICROCHIP_SQUARE,BIG_ASK_LVL1_P99,10,5854,0.7095,1.3456,-0.6361,-0.68,0.503
MICROCHIP_SQUARE,BIG_BID_LVL1_P95,30,5845,3.7826,3.5604,0.2222,0.14,0.509
MICROCHIP_SQUARE,BIG_ASK_LVL1_P95,30,5851,3.5094,3.6266,-0.1172,-0.07,0.508
