sym,hs,skew,sz,maxI,d2,d3,d4,total
BLACK_HOLES,4,2.0,5,7,-6142.5,5253.0,10717.0,9827.5
BLACK_HOLES,4,2.0,5,10,-8401.0,3418.0,12693.5,7710.5
BLACK_HOLES,4,2.0,10,3,-3948.5,4838.0,6422.5,7312.0
BLACK_HOLES,4,2.0,10,5,-4879.5,3711.0,9511.0,8342.5
BLACK_HOLES,4,2.0,10,7,-6142.5,5253.0,10717.0,9827.5
BLACK_HOLES,4,2.0,10,10,-8401.0,3418.0,12693.5,7710.5
BLACK_HOLES,4,3.0,5,3,-4369.5,4227.0,5953.5,5811.0
BLACK_HOLES,4,3.0,5,5,-4885.5,3542.0,9848.0,8504.5
BLACK_HOLES,4,3.0,5,7,-6461.5,4949.0,10632.0,9119.5
BLACK_HOLES,4,3.0,5,10,-8561.0,3228.0,12489.5,7156.5
BLACK_HOLES,4,3.0,10,3,-4369.5,4227.0,5953.5,5811.0
BLACK_HOLES,4,3.0,10,5,-4885.5,3542.0,9848.0,8504.5
BLACK_HOLES,4,3.0,10,7,-6461.5,4949.0,10632.0,9119.5
BLACK_HOLES,4,3.0,10,10,-8561.0,3228.0,12489.5,7156.5
BLACK_HOLES,4,5.0,5,3,-3922.5,4843.0,6294.5,7215.0
BLACK_HOLES,4,5.0,5,5,-5129.5,3496.0,9660.0,8026.5
BLACK_HOLES,4,5.0,5,7,-6653.5,4729.0,10477.0,8552.5
BLACK_HOLES,4,5.0,5,10,-8553.0,3080.0,12335.5,6862.5
BLACK_HOLES,4,5.0,10,3,-3922.5,4843.0,6294.5,7215.0
BLACK_HOLES,4,5.0,10,5,-5129.5,3496.0,9660.0,8026.5
BLACK_HOLES,4,5.0,10,7,-6653.5,4729.0,10477.0,8552.5
BLACK_HOLES,4,5.0,10,10,-8553.0,3080.0,12335.5,6862.5
BLACK_HOLES,5,0.0,5,3,-2674.5,6396.0,7707.5,11429.0
BLACK_HOLES,5,0.0,5,5,-3614.5,5320.0,11131.0,12836.5
BLACK_HOLES,5,0.0,5,7,-4911.5,7012.0,12041.0,14141.5
BLACK_HOLES,5,0.0,5,10,-6732.0,5444.0,14227.5,12939.5
BLACK_HOLES,5,0.0,10,3,-2674.5,6396.0,7707.5,11429.0
BLACK_HOLES,5,0.0,10,5,-3614.5,5320.0,11131.0,12836.5
BLACK_HOLES,5,0.0,10,7,-4911.5,7012.0,12041.0,14141.5
BLACK_HOLES,5,0.0,10,10,-6732.0,5444.0,14227.5,12939.5
BLACK_HOLES,5,0.5,5,3,-2889.5,6119.0,7485.5,10715.0
BLACK_HOLES,5,0.5,5,5,-3897.5,4944.0,10831.0,11877.5
BLACK_HOLES,5,0.5,5,7,-5303.5,6560.0,11677.0,12933.5
BLACK_HOLES,5,0.5,5,10,-7321.0,4795.0,13741.5,11215.5
BLACK_HOLES,5,0.5,10,3,-2889.5,6119.0,7485.5,10715.0
BLACK_HOLES,5,0.5,10,5,-3897.5,4944.0,10831.0,11877.5
BLACK_HOLES,5,0.5,10,7,-5303.5,6560.0,11677.0,12933.5
BLACK_HOLES,5,0.5,10,10,-7321.0,4795.0,13741.5,11215.5
BLACK_HOLES,5,1.0,5,3,-3140.5,5818.0,7235.5,9913.0
BLACK_HOLES,5,1.0,5,5,-4286.5,4468.0,10494.0,10675.5
BLACK_HOLES,5,1.0,5,7,-5820.5,5897.0,11185.0,11261.5
BLACK_HOLES,5,1.0,5,10,-8010.0,3955.0,12974.5,8919.5
BLACK_HOLES,5,1.0,10,3,-3140.5,5818.0,7235.5,9913.0
BLACK_HOLES,5,1.0,10,5,-4286.5,4468.0,10494.0,10675.5
BLACK_HOLES,5,1.0,10,7,-5820.5,5897.0,11185.0,11261.5
BLACK_HOLES,5,1.0,10,10,-8010.0,3955.0,12974.5,8919.5
BLACK_HOLES,5,1.5,5,3,-3372.5,5497.0,6976.5,9101.0
BLACK_HOLES,5,1.5,5,5,-4654.5,4032.0,10131.0,9508.5
BLACK_HOLES,5,1.5,5,7,-6169.5,5433.0,10635.0,9898.5
BLACK_HOLES,5,1.5,5,10,-8052.0,3821.0,12962.5,8731.5
BLACK_HOLES,5,1.5,10,3,-3372.5,5497.0,6976.5,9101.0
BLACK_HOLES,5,1.5,10,5,-4654.5,4032.0,10131.0,9508.5
BLACK_HOLES,5,1.5,10,7,-6169.5,5433.0,10635.0,9898.5
BLACK_HOLES,5,1.5,10,10,-8052.0,3821.0,12962.5,8731.5
BLACK_HOLES,5,2.0,5,3,-3661.5,5180.0,6753.5,8272.0
BLACK_HOLES,5,2.0,5,5,-4983.5,3514.0,9744.0,8274.5
BLACK_HOLES,5,2.0,5,7,-6034.5,5411.0,10873.0,10249.5
BLACK_HOLES,5,2.0,5,10,-8232.0,3659.0,12853.5,8280.5
BLACK_HOLES,5,2.0,10,3,-3661.5,5180.0,6753.5,8272.0
BLACK_HOLES,5,2.0,10,5,-4983.5,3514.0,9744.0,8274.5
BLACK_HOLES,5,2.0,10,7,-6034.5,5411.0,10873.0,10249.5
