a,b,form,beta,entry_z,n_trades,total_pnl,pnl_d2,pnl_d3,pnl_d4,pos_days
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ols_spread,-0.028,1.2,14,5065.0,-8075.0,6750.0,6390.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ols_spread,-0.028,1.5,12,8080.0,-5765.0,9805.0,4040.0,2
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ols_spread,-0.028,1.8,4,-5095.0,-10475.0,0.0,5380.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ols_spread,-0.028,2.0,4,-3545.0,-10315.0,0.0,6770.0,1
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,ols_spread,-0.028,2.5,2,-9395.0,-9395.0,0.0,0.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.0,1.0,19,-5460.0,3500.0,-11065.0,2105.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.0,1.2,16,-3280.0,2480.0,-10160.0,4400.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.0,1.5,12,1830.0,2555.0,-9150.0,8425.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.0,1.8,8,1620.0,-2650.0,-8015.0,12285.0,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.0,2.0,6,-9405.0,-2230.0,-7175.0,0.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,spread,1.0,2.5,6,-6230.0,-880.0,-5350.0,0.0,0
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.0,1.0,37,-4390.0,9325.0,5460.0,-19175.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.0,1.2,31,-1600.0,8930.0,7785.0,-18315.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.0,1.5,25,1370.0,12050.0,6165.0,-16845.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.0,1.8,23,4770.0,11695.0,8685.0,-15610.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.0,2.0,21,8720.0,13265.0,9960.0,-14505.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,sum,1.0,2.5,13,5280.0,3070.0,14465.0,-12255.0,2
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ols_spread,0.16,1.0,29,-2252.0,4811.0,-931.0,-6132.0,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ols_spread,0.16,1.2,27,-1771.0,6650.0,-3888.0,-4533.0,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ols_spread,0.16,1.5,15,-5122.0,5037.0,-3286.0,-6873.0,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ols_spread,0.16,1.8,13,-3537.0,4576.0,-2544.0,-5569.0,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ols_spread,0.16,2.0,13,-840.0,5681.0,-1850.0,-4671.0,1
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,ols_spread,0.16,2.5,9,2446.0,5923.0,-819.0,-2658.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,spread,1.0,1.0,20,-1310.0,6595.0,0.0,-7905.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,spread,1.0,1.2,16,-6565.0,7590.0,0.0,-14155.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,spread,1.0,1.5,16,-1925.0,11525.0,0.0,-13450.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,spread,1.0,1.8,10,-5505.0,6980.0,0.0,-12485.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,spread,1.0,2.0,10,-2795.0,8880.0,0.0,-11675.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,spread,1.0,2.5,6,-1735.0,6920.0,0.0,-8655.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sum,1.0,1.0,37,-4060.0,12265.0,6995.0,-23320.0,2
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sum,1.0,1.2,31,-2340.0,14575.0,5545.0,-22460.0,2
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sum,1.0,1.5,21,-9910.0,8515.0,2795.0,-21220.0,2
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sum,1.0,1.8,17,-8400.0,7675.0,3900.0,-19975.0,2
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sum,1.0,2.0,11,-9745.0,4670.0,4535.0,-18950.0,2
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,sum,1.0,2.5,11,-2120.0,7835.0,6595.0,-16550.0,2
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ols_spread,0.108,1.0,25,-5060.5,4714.0,-3386.0,-6388.5,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ols_spread,0.108,1.2,19,-5038.0,2750.5,-2929.0,-4859.5,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ols_spread,0.108,1.5,15,-5488.5,3801.5,-2293.5,-6996.5,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ols_spread,0.108,1.8,15,-1086.0,5662.0,-1715.0,-5033.0,1
